公交 公交站点一览表|||||||
"线路
名称"|起点名称|讫点名称|起点时间||讫点时间||途经站点
|||首班|末班|首班|末班|
63|铜山新区总站|彭城饭店（银座）|6:00|19:10|6:36|19:48|久隆凤凰城北门,保利迎宾馆,久隆凤凰城西门,凤凰花园,周窝,桥上,加州玫瑰园,国基城邦,科教集聚区,矿大南湖校区东门,张伯英艺术馆,茶棚,金山村,金山公园,云龙山索道,滨湖公园东门,云龙山,中医院,中山饭店,彭城饭店（银座）,中央百大（路东，单）
64|民馨园|淮海文博园（食品城）|6:10|19:40|5:50|19:15|西苑小区,西苑东口,民安园,矿山加油站,矿山加油站（矿山路）,段庄广场,建国路西口,大福源超市,工院永安校区,灯塔农贸市场,血液中心,云龙公园南门,师大北门,和平路,市四院,纪念塔,奎园西门,侯山窝,矿业大学,翟山,矿大南门,工程学院,工院新校,御景湾小区
65|"生物工程学院
（矿山路）"|郭庄路停保场|6:10|22:00|6:00|22:00|奎山散热器公司,徐医附院华丰分院,出入境办理中心,矿山加油站,段庄广场,段庄,矿务局华美商厦 ,工人医院口腔医院 ,市二院, 浦发银行,中央百大,中国人寿北,中国人寿,戏马台,和平路,市四院, 纪念塔,奎园北门, 汉桥,铁五小,骆驼山桥 ,强华骨科医院,楚王陵,三环路口,民富园西门,民富园，民祥园,绿地世纪城,庆丰路，金洋紫金东郡，云苑路
65|"生物工程学院
（新淮海西路）"|郭庄路停保场|6:10|22:00|6:00|22:00|雁山路，二轻路，万科淮海天地，段庄,矿务局华美商厦 ,工人医院口腔医院 ,市二院, 浦发银行,中央百大,中国人寿北,中国人寿,戏马台,和平路,市四院, 纪念塔,奎园北门, 汉桥,铁五小,骆驼山桥 ,强华骨科医院,楚王陵,三环路口,民富园西门,民富园，民祥园,绿地世纪城,庆丰路，金洋紫金东郡，云苑路
66|淮西客运站|汽车南站|5:50|18:50|6:32|19:40|市中级法院,公交修造厂,段南新村,市六院,段庄,煤建西路,矿务局南,永安广场,市二院南（财苑小区）,解放桥,中国人寿北,宣武市场,宣武市场南门,和平桥,积水坝,淮塔东路,农副产品市场,陶瓷市场
67|淮西客运站|碧螺山庄东门|5:50|19:00|6:10|19:40|市中级法院,公交修造厂,段南新村,段庄,矿务局华美商厦,儿童医院,合群新村,合群桥,黄河新村,夹河街西口,第一中学,牌楼,民主路小学,爱牙医院,堤北,堤北市场,下淀桥西,下淀瑞博医院,二九宿舍,广山北路口,杨庄农贸市场，杨庄，二十四中,基桩公司,东环办事处,招呼站
68|徐州乐园|徐州站|5:50|20:00|6:40|21:00|"珠山,南湖花园,水上运动中心,开元名都,韩山村南,湖滨市场,湖滨一小,湖滨新村,湖滨路口,建国路西口,大福源超市,工院永安校区,永安广场,市二院南（财苑小区）,解放桥,中国人寿北,宣武市场
"
69|民馨园|风华园|5:50|18:50|6:20|19:10|西苑小区,西苑东口,华润小区,工院黄河校区,沈场,畔苑小区,苏堤北路口,畔苑小区北,永业花园小区,徐州监狱,西阁街,北路口,金地商都,中央百大,中山饭店,中医院,云龙山,彭园西门,泉山检察院,文化城,泰山西坡,营房西门,营房东门,孟庄公寓,泰山汇景花园,大学城,矿业大学
69路夜班|民馨园|风华园|19:00|21:30|19:20|21:30|西苑小区，西苑东口，华润小区，工院黄河校区，沈场，畔苑小区，苏堤北路口，畔苑小区北，永业花园小区，徐州监狱，事业小区，夹河街西口，第一中学，夹河街东口，金地商都，中央百大，中山饭店，中医院，云龙山，彭园西门，泉山检察院，文化城，泰山西坡，营房西门，营房东门，孟庄公寓，泰山汇景花园，大学城，矿业大学
70|淮西客运站|徐州东站|6:00|18:30|6:10|19:00|市中级法院，公交修造厂，段南新村，湖滨新村，湖滨路口，纺南小区北门，矿总医院，吴庄花园，血液中心，云龙湖旅游风景区（云龙公园南门），师大北门，妇幼保健院，金狮小区，民富园北门，云龙万达广场，云龙区政府西，香榭兰庭，东方人民医院，医学院，宗申产业园，君庭湖畔，科技大厦，东区公交首末站，徐州东站北
